2
1,1,2,1,24,1,4,1,5,1,6,-1,7,-1,8,-1,9,-1,10,-1,11,-1,12,-1,13,-1
14,1,15,1,16,-1,6,-1,12,-1,5,-1,9,-1,4,1,17,-1,10,-1,18,-1,15,-1,13,-1
15,1,7,1,12,-1,16,-1,11,-1,5,-1,6,-1,20,-1,10,-1,7,-1,21,-1,17,-1,13,-1
12,1,5,-1,27,-1,18,-1,9,-1,22,1,6,-1,16,-1,12,-1,8,-1,21,-1,23,-1,13,-1
11,-1,16,-1,10,-1,6,-1,24,1,8,-1,9,-1,12,-1,15,-1,7,-1,18,-1,23,-1,13,-1
27,-1,11,-1,18,-1,17,-1,9,-1,20,-1,10,-1,15,-1,28,-1,21,-1,5,-1,23,-1,13,-1
5,-1,20,-1,9,-1,12,-1,3,1,8,-1,10,-1,6,-1,15,-1,7,-1,18,-1,23,-1,13,-1
6,1,11,-1,27,-1,18,-1,10,-1,14,1,12,-1,16,-1,6,-1,8,-1,21,-1,23,-1,13,-1
15,1,8,1,6,-1,16,-1,5,-1,11,-1,12,-1,20,-1,10,-1,7,-1,21,-1,17,-1,13,-1
22,1,15,1,16,-1,12,-1,6,-1,11,-1,8,-1,4,1,17,-1,10,-1,18,-1,21,-1,13,-1
25,1,26,1,3,1,21,1,11,1,12,-1,7,-1,9,-1,8,-1,10,-1,5,-1,6,-1,13,-1
